eval_prompt,ground_truth,model_output
"n,q = map(int,input().split())
graph = [set() for _ in range(n)]
start = [0xffffffff]*n
for _ in range(q):
    i,j,x = map(int,input().split())
    i -= 1; j -= 1
    graph[i].add(j)
    graph[j].add(i)
    start[i] &= x
    start[j] &= x
for i in range(n):
    if i in graph[i]:
        {{completion}}
    val = start[i]
    for j in graph[i]:
        val &= start[j]
    start[i] ^= val
print(*start)",continue,val &= start[j]
"n,q = map(int,input().split())
graph = [set() for _ in range(n)]
start = [0xffffffff]*n
for _ in range(q):
    i,j,x = map(int,input().split())
    i -= 1; j -= 1
    graph[i].add(j)
    graph[j].add(i)
    start[i] &= x
    start[j] &= x
for i in range(n):
    if i in graph[i]:
        continue
    val = start[i]
    for j in graph[i]:
        {{completion}}
    start[i] ^= val
print(*start)",val &= start[j],"val = start[i]
for j in graph[i]:
    val &= start[j]
start[i] ^= val"
"import sys

n, Q = list(map(int, sys.stdin.readline().strip().split()))
m = [0] * n
M = [2 ** 30 - 1] * n
L = [[] for i in range (0, n)]
for q in range (0, Q):
    i, j, x = list(map(int, sys.stdin.readline().strip().split()))
    i -= 1
    j -= 1
    M[i] &= x
    M[j] &= x
    L[i].append((j, x))
    L[j].append((i, x))
for i in range (0, n):
    for (j, x) in L[i]:
        if j != i:
            m[i] |= x ^ M[j]
        else:
            {{completion}}
    M[i] = m[i]
print(*m)
",m[i] = x,continue
"from sys import stdin, stdout
input, print = stdin.buffer.readline, stdout.write

n, T = [int(x) for x in input().split()]

ans = [(1<<31)-1] * n


from collections import defaultdict
R = defaultdict(list)

for _ in range(T):
    a,b, x = [int(_a) for _a in input().split()]
    a -= 1
    b -= 1
    a,b = min(a,b), max(a,b)
    ans[a] &=  x
    ans[b] &=  x
    R[a].append(b)
    R[b].append(a)



for i in range(len(ans)):
    for b in range(30,-1,-1):
        mask = 1 << b
        if mask & ans[i] == 0:
            continue
        can_remove = True
        for j in R[i]:
            if i == j or mask & ans[j] == 0:
                {{completion}}
        if can_remove:
            ans[i] ^= mask

print("" "".join(str(x)for x in ans)+""\n"")
","can_remove = False
                break",can_remove = True
"n,q = map(int, input().split())
adj = [list() for i in range(n+1)]
val = [-1]*(n+1)
for _ in range(q):
    i,j,x=map(int, input().split())
    val[i] &= x
    val[j] &= x
    adj[i].append(j)
    adj[j].append(i)
# print(*val[1:], sep="" "")
# print(*adj, sep=""\n"")

for a in range(1, n+1):
    if val[a] == -1:
        val[a] = 0
        continue
    t = val[a]
    for b in adj[a]: 
        if b == a:
            {{completion}}
        t &= val[b]
    val[a] ^= t
    # print(*val[1:], sep="" "")

print(*val[1:], sep="" "")
        


    
","t = 0
            break",t = val[a]
"n, q = map(int, input().strip().split())

qs = [[] for _ in range(n)]
refers_self = [False for _ in range(n)]
for _ in range(q):
    i, j, x = map(int, input().strip().split())
    if i==j:
        refers_self[i-1] = True
    qs[i-1].append((j-1, x))
    qs[j-1].append((i-1, x))

a = []
for i in range(n):
    if qs[i]:
        ans = (2<<32) - 1
        for j, x in qs[i]:
            {{completion}}
        a.append(ans)
    else:
        a.append(0)


for i in range(n):
    if refers_self[i]:
        continue
    ans = (2<<32) - 1
    for j, x in qs[i]:
        ans = ans & a[j]

    a[i] = a[i] - (a[i]&ans)

print(*a)
",ans = ans & x,ans = ans & a[j]
"from sys import stdin
input = stdin.readline

inp = lambda : list(map(int,input().split()))

def update(i , t):

    global ans

    if(i + 1 < n and a[i] == a[i + 1]):
        ans += t * (i + 1)
    else:
        ans += t * (n - i) * (i + 1)

    return ans

def answer():

    global ans

    ans = 0
    for i in range(n):

        update(i , 1)


    for q in range(m):
        i , x = inp()
        i -= 1

        if(i >= 0):{{completion}}
        update(i , -1)

        a[i] = x
        if(i >= 0):update(i - 1 , 1)
        update(i , 1)

        print(ans)

        
for T in range(1):

    n , m = inp()
    a = inp()
    
    answer()
","update(i - 1 , -1)","update(i - 1, 1)"
"from sys import stdin
input = stdin.readline

inp = lambda : list(map(int,input().split()))

def update(i , t):

    global ans

    if(i + 1 < n and a[i] == a[i + 1]):
        ans += t * (i + 1)
    else:
        ans += t * (n - i) * (i + 1)

    return ans

def answer():

    global ans

    ans = 0
    for i in range(n):

        update(i , 1)


    for q in range(m):
        i , x = inp()
        i -= 1

        if(i >= 0):update(i - 1 , -1)
        update(i , -1)

        a[i] = x
        if(i >= 0):{{completion}}
        update(i , 1)

        print(ans)

        
for T in range(1):

    n , m = inp()
    a = inp()
    
    answer()
","update(i - 1 , 1)","update(i - 1, 1)"
"import sys
input = sys.stdin.readline 

n, m = map(int, input().split())
a = list(map(int, input().split()))
a.insert(0, 0)
a.append(0)
ans = 0 
for i in range(1, n + 1):
    {{completion}} 
    
while(m):
    i, x = map(int, input().split())
    ans -= (a[i] != a[i - 1]) * (n - i + 1) * (i - 1)
    ans -= (a[i] != a[i + 1]) * (n - (i + 1) + 1) * i 
    a[i] = x 
    ans += (a[i] != a[i - 1]) * (n - i + 1) * (i - 1)
    ans += (a[i] != a[i + 1]) * (n - (i + 1) + 1) * i 
    print(ans + n * (n + 1) // 2)
    m -= 1
",ans += (a[i] != a[i + 1]) * (n - (i + 1) + 1) * i,"this is the start of the ground truth
i, x = map(int, input().split())
    ans -= (a[i]!= a[i - 1]) * (n - i + 1) * (i - 1)
    ans -= (a[i]!= a[i + 1]) * (n - (i + 1) + 1) * i 
    a[i] = x 
    ans += (a[i]!= a[i - 1]) * (n - i + 1) * (i -"
"import sys
input = sys.stdin.readline 

n, m = map(int, input().split())
a = list(map(int, input().split()))
a.insert(0, 0)
a.append(0)
ans = 0 
for i in range(1, n + 1):
    ans += (a[i] != a[i + 1]) * (n - (i + 1) + 1) * i 
    
while(m):
    {{completion}}
","i, x = map(int, input().split())
    ans -= (a[i] != a[i - 1]) * (n - i + 1) * (i - 1)
    ans -= (a[i] != a[i + 1]) * (n - (i + 1) + 1) * i 
    a[i] = x 
    ans += (a[i] != a[i - 1]) * (n - i + 1) * (i - 1)
    ans += (a[i] != a[i + 1]) * (n - (i + 1) + 1) * i 
    print(ans + n * (n + 1) // 2)
    m -= 1",ans += (a[i]!= a[i + 1]) * (n - (i + 1) + 1) * i
