eval_prompt,ground_truth,model_output
"def f(total,r,k):
    ans = ((pow(k-1,n,m)-(-1)**n)*pow(k,-1,m))%m
    if (r*n-total)%k == 0:
        ans += (-1)**n
    return ans
n,k,m = map(int,input().split())
ans = 0
if k % 2 == 1:
    for i in range(k):
        ans += pow(k,n-1,m)-f(2*i,i,k)
    print(ans%m)
else:
    for i in range(k//2):
        {{completion}}
    print(ans%m)","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)"
"import math
def pow(n, m, p):
    if m==0:
        return 1
    else:
        if m%2==0:
            return (pow(n, m//2, p)**2)%p
        else:
            {{completion}}
n, k, p =map(int, input().split())
if k%2==1:
    print((pow(k, n, p) - pow(k-1, n, p)+(-1)**((n+1)%2)*(math.gcd(n-2, k)-1))%p)
else:
    print((pow(2, p-2, p)*(pow(k, n, p) - pow(k-2, n, p)) + (-1)**((n+1)%2)*(math.gcd(n-2, k//2)-1)*pow(2, n-1, p))%p)","return (n*pow(n, m//2, p)**2)%p","print((pow(k, n, p) - pow(k-1, n, p)+(-1)**((n+1)%2)*(math.gcd(n-2, k)-1))%p)"
"def calculate_lucky_tickets(n, k, m):
    def f(total, r, k):
        ans = ((pow(k - 1, n, m) - (-1) ** n) * pow(k, -1, m)) % m
        if (r * n - total) % k == 0:
            ans += (-1) ** n
        return ans

    ans = 0

    if k % 2 == 1:
        for i in range(k):
            ans += pow(k, n - 1, m) - f(2 * i, i, k)
    else:
        for i in range(k // 2):
            {{completion}}

    return ans % m


n, k, m = map(int, input().split())
result = calculate_lucky_tickets(n, k, m)
print(result)
","ans += pow(k, n - 1, m) - f(2 * i, i, k // 2) * pow(2, n - 1, m)","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)"
"import math
n,k,m = map(int,input().split())
ans = 0
if k % 2 == 1:
    print((pow(k,n,m)-pow(k-1,n,m)+(-1)**n*(1-math.gcd(n-2,k)))%m)
else:
    {{completion}}","print((pow(k//2,n,m)-pow(k//2-1,n,m)+(-1)**n*(1-math.gcd(n-2,k//2)))*pow(2,n-1,m)%m)","print((pow(k,n,m)*pow(2,-1,m)-pow(2,n-1,m)*(pow(k//2-1,n,m)+(-1)**n*(1-math.gcd(n-2,k//2)-1)))%m)"
"n, k, m = input().split()
n = int(n)
k = int(k)
m = int(m)

if k % 2 == 1:
    ans = (pow(k, n, m) + pow(-1, n, m) - pow(k - 1, n, m)) % m
    for t in range(k):
        if n * t % k == 2 * t % k:
            ans += pow(-1, n - 1, m)
    ans = (ans % m + m) % m
    print(ans)
else:
    ans = ((pow(k, n, m) + pow(-2, n, m) - pow(k - 2, n, m)) * pow(2, m - 2, m)) % m
    for t in range(k // 2):
        if n * t % k == 2 * t % k or (n * t + k // 2) % k == 2 * t % k:
            {{completion}}
    ans = (ans % m + m) % m
    print(ans)","ans += pow(-1, n - 1, m) * pow(2, n - 1, m)
            ans %= m","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)"
"from math import gcd
n,k,m=map(int,input().split())
if k&1:
    print((pow(k,n,m)-pow(k-1,n,m)-(-1)**n*(gcd(n-2,k)-1))%m)
else:
    {{completion}}","print((pow(k,n,m)*pow(2,-1,m)-pow(2,n-1,m)*(pow(k//2-1,n,m)+(-1)**n*(gcd(n-2,k//2)-1)))%m)","print((pow(k//2,n,m)-pow(k//2-1,n,m)-(-1)**n*(1-math.gcd(n-2,k//2)))*pow(2,n-1,m)%m)"
"import sys;Z=sys.stdin.readline;Y=lambda:map(int,Z().split());X=range
z=lambda v,k:v+max(v-k,0)
def F(n,k,a,b):
 if 1 not in b:return F(n,k<<1,[i<<1 for i in a],[1]*n)
 if b[-1]!=1:i=b.index(1)+1;A=F(n,k,a[i:]+a[:i],b[i:]+b[:i]);return A[-i:]+A[:-i]
 N=n+1;f=[0]*N;g=[0]*N;s=v=0;p=n-1;d=[0]*n;A=[0]*n
 for i in X(n):
  if b[i]==1:s+=z(v+a[i-1],k);v=0;p=i
  else:{{completion}}
 for i in X(n-2,-2,-1):
  if b[i]==1:d[i]=z(v+a[i],k);v=0
  else:g[i]=g[i+1]+(a[i]<<1);v+=a[i]
 for i in X(n):
  if b[i]==1:A[i]=s
  else:A[i]=s-d[d[i]]+z(f[i+1],k)+g[i]
 return A
for _ in X(*Y()):print(*F(*Y(),[*Y()],[*Y()]))",f[i+1]=f[i]+a[i-1];v+=a[i-1];d[i]=p,"s+=z(v+a[i-1],k);v=0;p=i"
"#your code goes here
import sys;Z=sys.stdin.readline;Y=lambda:map(int,Z().split())
def f(v,k):return v if v<=k else v+v-k                                 #input
def solve(n,k,a,b):
 if 1 not in b:return solve(n,k<<1,[i<<1 for i in a],[1]*n)
 if b[-1]!=1:
  i=b.index(1)+1
  A=solve(n,k,a[i:]+a[:i],b[i:]+b[:i])
  return A[-i:]+A[:-i]
 f1=[0];f2=[0];s=v=0;p=n-1;d=[0]*n
 for i in range(n):
  if b[i]==1:f1.append(0);s+=f(v+a[i-1],k);v=0;p=i                  #if
  else:{{completion}}
 for i in range(n-2,-2,-1):
  if b[i]==1:f2.append(0);d[i]=f(v+a[i],k);v=0
  else:f2.append(f2[-1]+(a[i]<<1));v+=a[i]
 f1=f1[1:];f2=f2[-2::-1];A=[]
 for i in range(n):
  if b[i]==1:A.append(s)
  else:A.append(s-d[d[i]]+f(f1[i],k)+f2[i])
 return A
for _ in range(*Y()):n,k=Y();a=[*Y()];b=[*Y()];print(*solve(n,k,a,b))                    #return",f1.append(f1[-1]+a[i-1]);v+=a[i-1];d[i]=p,f[i+1]=f[i]+a[i-1];v+=a[i-1];d[i]=p
"import sys

input = sys.stdin.readline

t = int(input())
for _ in range(t):
    m,n,k = map(int,input().split())
    grid = [list(input().strip()) for _ in range(m)]
    if m > n:
        m,n = n,m
        grid = list(zip(*grid))
    SS = [[0] * (n+1) for _ in range(m)]
    for i in range(m):
        for j in range(n):
            SS[i][j + 1] = SS[i][j] + (grid[i][j] == '#')
    ans = 0
    for i in range(m):
        for j in range(n):
            # 往上扫
            ans1 = 0
            ans2 = 0
            for l in range(min(k + 1,i + 1)):
                {{completion}}
            ans3 = 0
            ans4 = 0
            for l in range(min(k + 1,m - i)):
                left = max(0,j - k + l)
                right = min(n,j + k - l + 1)
                ans3 += SS[i + l][j + 1] - SS[i + l][left]
                ans4 += SS[i + l][right] - SS[i + l][j]
            ans = max(ans,ans1,ans2,ans3,ans4)
    print(ans)","left = max(0,j - k + l)
                right = min(n,j + k - l + 1)
                ans1 += SS[i - l][j + 1] - SS[i - l][left]
                ans2 += SS[i - l][right] - SS[i - l][j]","ans1 = 0
ans2 = 0
ans3 = 0
ans4 = 0
ans = max(ans,ans1,ans2,ans3,ans4)"
"# TLE solution

import sys
input = sys.stdin.readline

def solve():
    n, m, k = map(int, input().split())
    grid = [[char == ""#"" for char in input().rstrip()] for _ in range(n)]
    
    if n > m:
        grid = [list(row) for row in zip(*grid)]
        n, m = m, n

    k = min(k, m + n)
    ans = 0

    for _ in range(2):
        for _ in range(2):
            
            prv_diag = [0] * (m + k + 1)
            prv_col = [0] * (m + 1)

            for i in range(n):
                new_diag = [0] * (m + k + 1)
                new_col = [0] * (m + 1)
                dp = [0] * (m + 1)

                for j in range(m + k):
                    if j < m:
                        {{completion}}
                    if i - 1 >= 0 and j - 1 >= 0:
                        new_diag[j] += prv_diag[j - 1]
                    if i - k - 1 >= 0 and j - k - 1 >= 0:
                        new_diag[j] -= grid[i - k - 1][j - k - 1]
                
                for j in range(m - 1, -1, -1):
                    new_col[j] += grid[i][j] + prv_col[j]
                    if i - k - 1 >= 0:
                        new_col[j] -= grid[i - k - 1][j]
                    
                    dp[j] += dp[j + 1] + new_col[j] - new_diag[j + k + 1]
                    ans = max(ans, dp[j])
                
                prv_diag = new_diag
                prv_col = new_col

            grid.reverse()
        
        for row in grid:
            row.reverse()

    return ans
    

T = int(input())
out = [solve() for _ in range(T)]
print(""\n"".join(map(str, out)))",new_diag[j] += grid[i][j],"prv_diag = [0] * (m + k + 1)
prv_col = [0] * (m + 1)
for i in range(n):
    new_diag = [0] * (m + k + 1)
    new_col = [0] * (m + 1)
    dp = [0] * (m + 1)
    for j in range(m + k):
        if j < m:
            # TODO: Your code here
        if i - 1 >= 0 and j - 1 >= 0:
            new_diag[j] += prv_diag[j - 1]
        if i - k - 1 >= 0 and j - k - 1 >= 0:
            new_diag[j] -= grid[i - k - 1][j - k - 1]
    
    for j in range(m - 1, -1, -1):
        new_col[j] += grid[i][j] + prv_col"
