eval_prompt,ground_truth,model_output
"n,q = map(int,input().split())
graph = [set() for _ in range(n)]
start = [0xffffffff]*n
for _ in range(q):
    i,j,x = map(int,input().split())
    i -= 1; j -= 1
    graph[i].add(j)
    graph[j].add(i)
    start[i] &= x
    start[j] &= x
for i in range(n):
    if {{completion}}:
        continue
    val = start[i]
    for j in graph[i]:
        val &= start[j]
    start[i] ^= val
print(*start)",i in graph[i],j in graph[i]
"n,q = map(int,input().split())
graph = [set() for _ in range(n)]
start = [0xffffffff]*n
for _ in range(q):
    i,j,x = map(int,input().split())
    i -= 1; j -= 1
    graph[i].add(j)
    graph[j].add(i)
    start[i] &= x
    start[j] &= x
for i in range(n):
    if i in graph[i]:
        continue
    val = start[i]
    for {{completion}}:
        val &= start[j]
    start[i] ^= val
print(*start)",j in graph[i],j in graph[i]
"import sys

n, Q = list(map(int, sys.stdin.readline().strip().split()))
m = [0] * n
M = [2 ** 30 - 1] * n
L = [[] for i in range (0, n)]
for q in range (0, Q):
    i, j, x = list(map(int, sys.stdin.readline().strip().split()))
    i -= 1
    j -= 1
    M[i] &= x
    M[j] &= x
    L[i].append((j, x))
    L[j].append((i, x))
for i in range (0, n):
    for (j, x) in L[i]:
        if {{completion}}:
            m[i] |= x ^ M[j]
        else:
            m[i] = x
    M[i] = m[i]
print(*m)
",j != i,i in graph[i]
"from sys import stdin, stdout
input, print = stdin.buffer.readline, stdout.write

n, T = [int(x) for x in input().split()]

ans = [(1<<31)-1] * n


from collections import defaultdict
R = defaultdict(list)

for _ in range(T):
    a,b, x = [int(_a) for _a in input().split()]
    a -= 1
    b -= 1
    a,b = min(a,b), max(a,b)
    ans[a] &=  x
    ans[b] &=  x
    R[a].append(b)
    R[b].append(a)



for i in range(len(ans)):
    for b in range(30,-1,-1):
        mask = 1 << b
        if mask & ans[i] == 0:
            continue
        can_remove = True
        for j in R[i]:
            if {{completion}}:
                can_remove = False
                break
        if can_remove:
            ans[i] ^= mask

print("" "".join(str(x)for x in ans)+""\n"")
",i == j or mask & ans[j] == 0,j != i
"n,q = map(int, input().split())
adj = [list() for i in range(n+1)]
val = [-1]*(n+1)
for _ in range(q):
    i,j,x=map(int, input().split())
    val[i] &= x
    val[j] &= x
    adj[i].append(j)
    adj[j].append(i)
# print(*val[1:], sep="" "")
# print(*adj, sep=""\n"")

for a in range(1, n+1):
    if val[a] == -1:
        val[a] = 0
        continue
    t = val[a]
    for b in adj[a]: 
        if {{completion}}:
            t = 0
            break
        t &= val[b]
    val[a] ^= t
    # print(*val[1:], sep="" "")

print(*val[1:], sep="" "")
        


    
",b == a,i in adj[i]
"n, q = map(int, input().strip().split())

qs = [[] for _ in range(n)]
refers_self = [False for _ in range(n)]
for _ in range(q):
    i, j, x = map(int, input().strip().split())
    if i==j:
        refers_self[i-1] = True
    qs[i-1].append((j-1, x))
    qs[j-1].append((i-1, x))

a = []
for i in range(n):
    if qs[i]:
        ans = (2<<32) - 1
        for {{completion}}:
            ans = ans & x
        a.append(ans)
    else:
        a.append(0)


for i in range(n):
    if refers_self[i]:
        continue
    ans = (2<<32) - 1
    for j, x in qs[i]:
        ans = ans & a[j]

    a[i] = a[i] - (a[i]&ans)

print(*a)
","j, x in qs[i]",j != i
"n,k=map(int,input().split())
l=list(map(int,input().split()))

ans=-2
b=l.count(0)

for y in range(n):
	a=l[y:]+l[:y]
	ind=[]
	s=0
	
	for i in range(n):
		if {{completion}}:
			ind+=[i]
			a[i]=k
		s+=a[i]
	
	while s>0 and len(ind)>0:
		a[ind[-1]]=max(k-s,-k)
		s+=(-k+a[ind[-1]])
		ind=ind[:-1]
	
	s=0
	f=0
	for i in range(n):
		s+=a[i]
		f=max(f,s)
	
	if sum(a)==0:
		ans=max(ans,f)
	

print(ans+1)
",a[i]==0,j+1 < n
"R=lambda:map(int,input().split())
n,k=R();n+=1
a=[0]+[*R()]

p0,p=[0]*n,[0]*n
for i in range(1,n):
  p0[i]=p0[i-1]+int(a[i]==0)
  p[i]=p[i-1]+a[i]
s=p[-1]

if p0[-1]*k<abs(s):
  res=-1
else:
  res=0
  for i in range(n):
    for {{completion}}:
      l0=p0[j]-p0[i];r0=p0[-1]-l0
      l,r=max(-l0*k, -s-r0*k),min(l0*k, -s+r0*k)
      v=p[j]-p[i]
      res=max(res, 1+abs(v+l), 1+abs(v+r))
print(res)","j in range(i+1,n)",a[i]==0
"import sys
input = sys.stdin.readline

def ProGamerMove():
	n, k = map(int, input().split())
	a = list(map(int, input().split()))
	zeros = a.count(0)
	sm = sum(a)
	s1, s2 = 0, 0
	c1, c2 = 0, 0
	res = -2
	def intersect(m1, b1, m2, b2):
		l1, r1 = m1 - b1 * k, m1 + b1 * k
		l2, r2 = m2 - b2 * k, m2 + b2 * k
		return not (r1 < l2 or r2 < l1)
	for l in range(0, n + 1):
		s2, c2 = 0, 0
		for r in range(0, n + 1):
			if l <= r:
				b1, b2, b3 = c1, c2 - c1, zeros - c2
				m1, m2, m3 = s1, s2 - s1, sm - s2
				# b1 + b3 == -b2
				# min b1, b3
				if {{completion}}: continue
				r1 = max(m1 + m3 - (b1 + b3) * k, -m2 - b2 * k)
				r2 = min(m1 + m3 + (b1 + b3) * k, -m2 + b2 * k)
				res = max(res, abs(r1), abs(r2))
			if r < n:
				s2 += a[r]
				c2 += a[r] == 0
		if l < n:
			s1 += a[l]
			c1 += a[l] == 0
	print(res + 1)

n = 1
#n = int(input())
for _ in range(0, n): ProGamerMove()
","not intersect(m1 + m3, b1 + b3, -m2, b2)",
"n, k = map(int, input().split())
A = list(map(int, input().split()))

ans = 0
for i in range(n):
    C = [0]*n
    for j in range(n-1, -1, -1):
        if A[j] == 0:
            C[j] = 1
        if j+1 < n:
            C[j] += C[j+1]
    B = A.copy()
    s = sum(B)
    flag = True
    for j in range(n):
        if B[j] == 0:
            if {{completion}}:
                x = C[j+1]
            else:
                x = 0
            B[j] = min(k, x*k-s)
            if B[j] < -k:
                flag = False
            s += B[j]
    if flag:
        pos = 0
        mn = 0
        mx = 0
        for j in range(n):
            pos += B[j]
            mn = min(mn, pos)
            mx = max(mx, pos)
        if pos == 0:
            ans = max(ans, mx-mn+1)
    A = A[1:]+A[0:1]

if ans != 0:
    print(ans)
else:
    print(-1)
",j+1 < n,B[j] < -k
