eval_prompt,ground_truth,model_output
"import sys
import collections
import math
import bisect
import heapq
#import itertools
#import functools
input = sys.stdin.readline
 
M = 10 ** 9 + 7
power = [1] * (2 * 10 ** 5)
for i in range(1, 2 * 10 ** 5):
    power[i] = power[i-1] * 2 % M
 
n = int(input())
arr = list(map(int, input().split()))
arr.sort()
ans = 0
if n > 64:
    arr = arr[:64]
    def fn(ls):
        q = []
        for i in range(8):
            for j in range(i + 1, 64):
                curr = ls[i] + ls[j]
                if len(q) == 64:
                    if curr >= -q[0]:
                        break
                    else:
                        {{completion}}
                else:
                    heapq.heappush(q, -curr)
        return sorted([-i for i in q])
    for i in range(n - 64):
        x = arr[0]
        arr = [num - x for num in arr]
        ans = (ans + x * power[n - 1 - i]) % M
        arr = fn(arr)

def fx(ls):
    m = len(ls)
    q = []
    for i in range(math.isqrt(m)):
        for j in range(i + 1, m):
            curr = ls[i] + ls[j]
            if len(q) == m - 1:
                if curr >= -q[0]:
                    break
                else:
                    heapq.heappushpop(q, -curr)
            else:
                heapq.heappush(q, -curr)
    return sorted([-i for i in q])
n = len(arr)
for i in range(n - 1):
    x = arr[0]
    arr = [num - x for num in arr]
    ans = (ans + x * power[n - 1 - i]) % M
    arr = fx(arr)
ans += arr[0]
print(ans % M)","heapq.heappushpop(q, -curr)","heapq.heappushpop(q, -curr)"
"import heapq
def f(L):
    n=len(L)
    ma=[]
    for i in range(n):
        for j in range(i+1,n):
            if len(ma)==n-1 and L[i]+L[j]>=(-1)*ma[0]:
                break
            elif len(ma)==n-1 and L[i]+L[j]<(-1)*ma[0]:
                {{completion}}
            else:
                heapq.heappush(ma,(-1)*(L[i]+L[j]))
    return sorted([(-1)*j for j in ma])
def g(L):
    n=len(L)
    ma=[]
    for i in range(n):
        for j in range(i+1,n):
            if len(ma)==n and L[i]+L[j]>=(-1)*ma[0]:
                break
            elif len(ma)==n and L[i]+L[j]<(-1)*ma[0]:
                heapq.heappop(ma)
                heapq.heappush(ma,(-1)*(L[i]+L[j]))
            else:
                heapq.heappush(ma,(-1)*(L[i]+L[j]))
    return sorted([(-1)*j for j in ma])
n=int(input())
L=list(map(int,input().split()))
ans=sorted(L)[:64]
ans1=0
K=64
if n>K:
    for i in range(n-K):
        sub=ans[0]
        for j in range(64):
            ans[j]-=sub
        ans1+=sub*(2**(n-1-i))
        ans=g(ans)
for gg in range(min(n,K)-1):
    sub=ans[0]
    for j in range(min(n,K)-gg):
        ans[j]-=sub
    ans1+=sub*(2**(min(n,K)-1-gg))
    ans=f(ans)
print((ans[0]+ans1)%1000000007)
","heapq.heappop(ma)
                heapq.heappush(ma,(-1)*(L[i]+L[j]))","heapq.heappop(ma)
                heapq.heappush(ma,(-1)*(L[i]+L[j]))"
"import sys
import collections
import math
import bisect
import heapq
#import itertools
#import functools
input = sys.stdin.readline
 
M = 10 ** 9 + 7
power = [1] * (2 * 10 ** 5)
for i in range(1, 2 * 10 ** 5):
    power[i] = power[i-1] * 2 % M
 
n = int(input())
arr = list(map(int, input().split()))
arr.sort()
ans = 0
if n > 64:
    arr = arr[:64]
    def fn(ls):
        q = []
        for i in range(8):
            for j in range(i + 1, 64):
                curr = ls[i] + ls[j]
                if len(q) == 64:
                    if curr >= -q[0]:
                        break
                    else:
                        {{completion}}
                else:
                    heapq.heappush(q, -curr)
        return sorted([-i for i in q])
    for i in range(n - 64):
        x = arr[0]
        arr = [num - x for num in arr]
        ans = (ans + x * power[n - 1 - i]) % M
        arr = fn(arr)

def fx(ls):
    m = len(ls)
    q = []
    for i in range(math.isqrt(m)):
        for j in range(i + 1, m):
            curr = ls[i] + ls[j]
            if len(q) == m - 1:
                if curr >= -q[0]:
                    break
                else:
                    heapq.heappushpop(q, -curr)
            else:
                heapq.heappush(q, -curr)
    return sorted([-i for i in q])
n = len(arr)
for i in range(n - 1):
    x = arr[0]
    arr = [num - x for num in arr]
    ans = (ans + x * power[n - 1 - i]) % M
    arr = fx(arr)
ans += arr[0]
print(ans % M)","heapq.heappushpop(q, -curr)","heapq.heappushpop(q, -curr)"
"def f(total,r,k):
    ans = ((pow(k-1,n,m)-(-1)**n)*pow(k,-1,m))%m
    if (r*n-total)%k == 0:
        ans += (-1)**n
    return ans
n,k,m = map(int,input().split())
ans = 0
if k % 2 == 1:
    for i in range(k):
        ans += pow(k,n-1,m)-f(2*i,i,k)
    print(ans%m)
else:
    for i in range(k//2):
        {{completion}}
    print(ans%m)","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)","ans += pow(k,n-1,m)-f(2*i,i,k)"
"import math
def pow(n, m, p):
    if m==0:
        return 1
    else:
        if m%2==0:
            return (pow(n, m//2, p)**2)%p
        else:
            {{completion}}
n, k, p =map(int, input().split())
if k%2==1:
    print((pow(k, n, p) - pow(k-1, n, p)+(-1)**((n+1)%2)*(math.gcd(n-2, k)-1))%p)
else:
    print((pow(2, p-2, p)*(pow(k, n, p) - pow(k-2, n, p)) + (-1)**((n+1)%2)*(math.gcd(n-2, k//2)-1)*pow(2, n-1, p))%p)","return (n*pow(n, m//2, p)**2)%p","ans=1
            while m%2!=0:
                ans=(ans*n)%m
                m=m//2
            return ans
n, k, p =map(int, input().split())
if k%2==1:
    print((pow(k, n, p) - pow(k-1, n, p)+(-1)**((n+1)%2)*(math.gcd(n-2, k)-1))%p)
else:
    print((pow(2, p-2, p)*(pow(k, n, p) - pow(k-2, n, p)) + (-1)**((n+1)%2)*(math.gcd(n-2, k//2)-1)*pow(2, n-1, p))%p)
    
</cell>
<"
"def calculate_lucky_tickets(n, k, m):
    def f(total, r, k):
        ans = ((pow(k - 1, n, m) - (-1) ** n) * pow(k, -1, m)) % m
        if (r * n - total) % k == 0:
            ans += (-1) ** n
        return ans

    ans = 0

    if k % 2 == 1:
        for i in range(k):
            ans += pow(k, n - 1, m) - f(2 * i, i, k)
    else:
        for i in range(k // 2):
            {{completion}}

    return ans % m


n, k, m = map(int, input().split())
result = calculate_lucky_tickets(n, k, m)
print(result)
","ans += pow(k, n - 1, m) - f(2 * i, i, k // 2) * pow(2, n - 1, m)","ans += f(i, i, k)
            ans += f(i, i, k)"
"import math
n,k,m = map(int,input().split())
ans = 0
if k % 2 == 1:
    print((pow(k,n,m)-pow(k-1,n,m)+(-1)**n*(1-math.gcd(n-2,k)))%m)
else:
    {{completion}}","print((pow(k//2,n,m)-pow(k//2-1,n,m)+(-1)**n*(1-math.gcd(n-2,k//2)))*pow(2,n-1,m)%m)","ans = pow(k,n,m)-pow(k-1,n,m)+(-1)**n*(1-math.gcd(n-2,k))
    print(ans % m)
<|/ file source=github ext=.py |>"
"n, k, m = input().split()
n = int(n)
k = int(k)
m = int(m)

if k % 2 == 1:
    ans = (pow(k, n, m) + pow(-1, n, m) - pow(k - 1, n, m)) % m
    for t in range(k):
        if n * t % k == 2 * t % k:
            ans += pow(-1, n - 1, m)
    ans = (ans % m + m) % m
    print(ans)
else:
    ans = ((pow(k, n, m) + pow(-2, n, m) - pow(k - 2, n, m)) * pow(2, m - 2, m)) % m
    for t in range(k // 2):
        if n * t % k == 2 * t % k or (n * t + k // 2) % k == 2 * t % k:
            {{completion}}
    ans = (ans % m + m) % m
    print(ans)","ans += pow(-1, n - 1, m) * pow(2, n - 1, m)
            ans %= m","ans += pow(-1, n - 1, m)
    ans = (ans % m + m) % m
    print(ans)

if k % 3 == 1:
    ans = (pow(k, n, m) + pow(-2, n, m) - pow(k - 2, n, m)) % m
    for t in range(k):
        if n * t % k == 2 * t % k or n * t + k % 3 == 2 * t % k:
            ans += pow(-1, n - 1, m)
    ans = (ans % m + m) % m
    print(ans)
else:
    ans = ((pow(k, n, m) + pow(-3, n, m) - pow(k - 3, n, m)) * pow(3, "
"from math import gcd
n,k,m=map(int,input().split())
if k&1:
    print((pow(k,n,m)-pow(k-1,n,m)-(-1)**n*(gcd(n-2,k)-1))%m)
else:
    {{completion}}","print((pow(k,n,m)*pow(2,-1,m)-pow(2,n-1,m)*(pow(k//2-1,n,m)+(-1)**n*(gcd(n-2,k//2)-1)))%m)","s=0
    for i in range(n):
        s+=int(input())
    print(s%m)
<|/ file source=github filename=lucky_ticket.py "
"import sys;Z=sys.stdin.readline;Y=lambda:map(int,Z().split());X=range
z=lambda v,k:v+max(v-k,0)
def F(n,k,a,b):
 if 1 not in b:return F(n,k<<1,[i<<1 for i in a],[1]*n)
 if b[-1]!=1:i=b.index(1)+1;A=F(n,k,a[i:]+a[:i],b[i:]+b[:i]);return A[-i:]+A[:-i]
 N=n+1;f=[0]*N;g=[0]*N;s=v=0;p=n-1;d=[0]*n;A=[0]*n
 for i in X(n):
  if b[i]==1:s+=z(v+a[i-1],k);v=0;p=i
  else:{{completion}}
 for i in X(n-2,-2,-1):
  if b[i]==1:d[i]=z(v+a[i],k);v=0
  else:g[i]=g[i+1]+(a[i]<<1);v+=a[i]
 for i in X(n):
  if b[i]==1:A[i]=s
  else:A[i]=s-d[d[i]]+z(f[i+1],k)+g[i]
 return A
for _ in X(*Y()):print(*F(*Y(),[*Y()],[*Y()]))",f[i+1]=f[i]+a[i-1];v+=a[i-1];d[i]=p,"g[i]=g[i+1]+(a[i-1]<<1);v+=a[i-1]
 for i in X(n-2,-2,-1):
  if b[i]==1:d[i]=z(v+a[i],k);v=0
  else:g[i]=g[i+1]+(a[i]<<1);v+=a[i]
 for i in X(n):
  if b[i]==1:A[i]=s
  else:A[i]=s-d[d[i]]+z(f[i+1],k)+g[i]
 return A
for _ in X(*Y()):print(*F(*Y(),[*Y()],[*Y()]))
'''
<|/ a dscore=0 |>"
