eval_prompt,ground_truth,model_output
"def f(total,r,k):
    ans = ((pow(k-1,n,m)-(-1)**n)*pow(k,-1,m))%m
    if (r*n-total)%k == 0:
        ans += (-1)**n
    return ans
n,k,m = map(int,input().split())
ans = 0
if k % 2 == 1:
    for i in range(k):
        ans += pow(k,n-1,m)-f(2*i,i,k)
    print(ans%m)
else:
    for i in range(k//2):
        {{completion}}
    print(ans%m)","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)","ans += pow(k, n - 1, m) - f(2 * i, i, k // 2) * pow(2, n - 1, m)"
"import math
def pow(n, m, p):
    if m==0:
        return 1
    else:
        if m%2==0:
            return (pow(n, m//2, p)**2)%p
        else:
            {{completion}}
n, k, p =map(int, input().split())
if k%2==1:
    print((pow(k, n, p) - pow(k-1, n, p)+(-1)**((n+1)%2)*(math.gcd(n-2, k)-1))%p)
else:
    print((pow(2, p-2, p)*(pow(k, n, p) - pow(k-2, n, p)) + (-1)**((n+1)%2)*(math.gcd(n-2, k//2)-1)*pow(2, n-1, p))%p)","return (n*pow(n, m//2, p)**2)%p","ans += pow(-1, n - 1, m) * pow(2, n - 1, m)
            ans %= m"
"def calculate_lucky_tickets(n, k, m):
    def f(total, r, k):
        ans = ((pow(k - 1, n, m) - (-1) ** n) * pow(k, -1, m)) % m
        if (r * n - total) % k == 0:
            ans += (-1) ** n
        return ans

    ans = 0

    if k % 2 == 1:
        for i in range(k):
            ans += pow(k, n - 1, m) - f(2 * i, i, k)
    else:
        for i in range(k // 2):
            {{completion}}

    return ans % m


n, k, m = map(int, input().split())
result = calculate_lucky_tickets(n, k, m)
print(result)
","ans += pow(k, n - 1, m) - f(2 * i, i, k // 2) * pow(2, n - 1, m)","ans += pow(k,n-1,m)-f(2*i,i,k//2)*pow(2,n-1,m)"
"import math
n,k,m = map(int,input().split())
ans = 0
if k % 2 == 1:
    print((pow(k,n,m)-pow(k-1,n,m)+(-1)**n*(1-math.gcd(n-2,k)))%m)
else:
    {{completion}}","print((pow(k//2,n,m)-pow(k//2-1,n,m)+(-1)**n*(1-math.gcd(n-2,k//2)))*pow(2,n-1,m)%m)","print((pow(k,n,m)*pow(2,-1,m)-pow(2,n-1,m)*(pow(k//2-1,n,m)+(-1)**n*(1-math.gcd(n-2,k//2))))%m)"
"n, k, m = input().split()
n = int(n)
k = int(k)
m = int(m)

if k % 2 == 1:
    ans = (pow(k, n, m) + pow(-1, n, m) - pow(k - 1, n, m)) % m
    for t in range(k):
        if n * t % k == 2 * t % k:
            ans += pow(-1, n - 1, m)
    ans = (ans % m + m) % m
    print(ans)
else:
    ans = ((pow(k, n, m) + pow(-2, n, m) - pow(k - 2, n, m)) * pow(2, m - 2, m)) % m
    for t in range(k // 2):
        if n * t % k == 2 * t % k or (n * t + k // 2) % k == 2 * t % k:
            {{completion}}
    ans = (ans % m + m) % m
    print(ans)","ans += pow(-1, n - 1, m) * pow(2, n - 1, m)
            ans %= m","ans += pow(-1, n - 1, m) * pow(2, m - 2, m)"
"from math import gcd
n,k,m=map(int,input().split())
if k&1:
    print((pow(k,n,m)-pow(k-1,n,m)-(-1)**n*(gcd(n-2,k)-1))%m)
else:
    {{completion}}","print((pow(k,n,m)*pow(2,-1,m)-pow(2,n-1,m)*(pow(k//2-1,n,m)+(-1)**n*(gcd(n-2,k//2)-1)))%m)","print((pow(k//2,n,m)-pow(k//2-1,n,m)-(-1)**n*(gcd(n-2,k//2)-1))*pow(2,n-1,m)%m)"
"import sys

input = sys.stdin.readline

t = int(input())
for _ in range(t):
    m,n,k = map(int,input().split())
    grid = [list(input().strip()) for _ in range(m)]
    if m > n:
        m,n = n,m
        grid = list(zip(*grid))
    SS = [[0] * (n+1) for _ in range(m)]
    for i in range(m):
        for j in range(n):
            SS[i][j + 1] = SS[i][j] + (grid[i][j] == '#')
    ans = 0
    for i in range(m):
        for j in range(n):
            # 往上扫
            ans1 = 0
            ans2 = 0
            for l in range(min(k + 1,i + 1)):
                {{completion}}
            ans3 = 0
            ans4 = 0
            for l in range(min(k + 1,m - i)):
                left = max(0,j - k + l)
                right = min(n,j + k - l + 1)
                ans3 += SS[i + l][j + 1] - SS[i + l][left]
                ans4 += SS[i + l][right] - SS[i + l][j]
            ans = max(ans,ans1,ans2,ans3,ans4)
    print(ans)","left = max(0,j - k + l)
                right = min(n,j + k - l + 1)
                ans1 += SS[i - l][j + 1] - SS[i - l][left]
                ans2 += SS[i - l][right] - SS[i - l][j]","ans1 = 0
ans2 = 0
ans3 = 0
ans4 = 0"
"def gcd(a, b):
  if a==0:
    return b
  return gcd(b%a, a)
def main():
  n = int(input())
  a = [int(i) for i in input().split()]
  ans = 0
  for k in range(1, n+1):
    if n%k==0:
      g = 0
      for i in range(n-k):
        {{completion}}
      ans += g!=1
  return ans

t = int(input())
while t:
  print(main())
  t -= 1","g = gcd(g, abs(a[i+k]-a[i]))","g=gcd(abs(l[k]-l[k-i]),g)"
"import math
import sys


def solute():
    n = int(sys.stdin.readline())
    a_list = list(map(int, sys.stdin.readline().split()))

    i = 1
    divs = []
    while i * i <= n:
        if n % i == 0:
            divs.append(i)
            if i != n // i:
                {{completion}}
        i += 1

    divs.sort()
    succ = set()
    ans = 0
    for div in divs:
        g = 0
        did = False
        for num in succ:
            if div % num == 0:
                ans += 1
                did = True
                break
        if did:
            continue
        for i in range(n):
            g = math.gcd(g, a_list[i] - a_list[i % div])
            if g == 1:
                break
        if g != 1:
            ans += 1
            succ.add(div)

    print(ans)

t = int(sys.stdin.readline())

for _ in range(t):
    solute()",divs.append(n // i),"g = gcd(g, abs(a[i+k]-a[i]))"
"def gcd(a,b):
    if b==None:
        return a
    if b==0:
        return a
    elif a==0:
        return b
    else:
        return gcd(b,a%b)
    

for i in range(int(input())):
    n=int(input())
    l = [int(i) for i in input().split()]
    c=1
    for i in range(1,n):
        if n%i!=0:
            continue
        
        g=None
        for j in range(i):
            for k in range(j+i,n,i):
                {{completion}}
            if g==1:
                break
        else:
            c+=1
    print(c)","g=gcd(abs(l[k]-l[k-i]),g)","g = gcd(g, abs(a[i+k]-a[i]))"
"for _ in range(int(input())):
    {{completion}}","a, b = map(int, input().split())
    s = int((a + b) ** 0.5)
    print(min(k - 1 + (a + k - 1) // k + (b + k - 1) // k for k in range(max(1, s - 1000), s + 1000)))",k+=1
"from math import ceil, floor, sqrt

t = int(input())

for _ in range(t):
  a, b = list(map(int, input().split()))
  estM = floor(sqrt(a+b))
  mi = 1e18
  for m in range(estM-100, estM+100):
    if m <= 0: {{completion}}
    cost = m - 1 + ceil(a/m) + ceil(b/m)
    if cost < mi:
      mi = cost
  print(mi)
",continue,"if m <= 0:
  cost = m - 1 + ceil(a/m) + ceil(b/m)"
"for x in range(int(input())):
	mm=999999999999
	a,b=map(int,input().split())
	for y in range(max(1,int((a+b)**0.5-100)),int((a+b)**0.5)+100):
		k=a//y+b//y
		if a%y:
			{{completion}}
		if b%y:
			k+=1
		mm=min(k+y-1,mm)
	print(mm)
		",k+=1,"a, b = map(int, input().split())
    s = int((a + b) ** 0.5)
    print(min(k - 1 + (a + k - 1) // k + (b + k - 1) // k for k in range(max(1, s - 1000), s + 1000)))"
"M=998244353
F=[1]
I=[1]
for i in range(1,300001):{{completion}}
n,m,k=map(int,input().split())
n-=m*(k+1)
print(sum((-1)**i*pow(2,m-i,M)*F[m]*I[i]*I[m-i]*F[n+m-k*i]*I[m]*I[n-k*i]for i in range(m+1)if n>=k*i)%M)
","F.append((F[-1]*i)%M);I.append(pow(F[-1],-1,M))","F[i]=F[i-1]*i%M
I[i]=I[i-1]*(M-M//i)%M
I[0]=1
F[0]=1
p2=[2]
for i in range(1,300001):
    p2.append(p2[-1]*2%M)"
"MOD, N = 998244353, int(3e5) + 5

fct, invfct, p2 = [N * [1] for _ in range(3)]

for i in range(1, N):
    {{completion}}

invfct[-1] = pow(fct[-1], MOD - 2, MOD)

for i in range(N - 2, 0, -1):
    invfct[i] = invfct[i + 1] * (i + 1) % MOD


def nCr(n, r):
    return fct[n] * invfct[n - r] % MOD * invfct[r] % MOD


n, m, k = map(int, input().split())

i, ans = 2 * [0]

while i <= m and n - k * (i + m) >= m:
    cur = 1 if i % 2 == 0 else MOD - 1

    cur = cur * nCr(n - k * (i + m), m) % MOD * nCr(m, i) % MOD * p2[m - i] % MOD

    ans = (ans + cur) % MOD

    i += 1

print(ans)","fct[i] = fct[i - 1] * i % MOD

    p2[i] = p2[i - 1] * 2 % MOD","fct[0] = 1
invfct[0] = 1
p2[0] = 1

for i in range(1, N):
    fct[i] = fct[i - 1] * i % MOD
    p2[i] = p2[i - 1] * 2 % MOD

invfct[-1] = pow(fct[-1], MOD - 2, MOD)

for i in range(N - 2, 0, -1"
"from math import comb

mod=998244353
nm=10**6
fact=[1]*(nm+1)
for i in range(2,nm+1):
    fact[i]=fact[i-1]*i % mod
 
inv=[1]*(nm+1)
inv[nm]=pow(fact[nm],mod-2,mod)
for i in range(nm-1,0,-1):
    inv[i]=inv[i+1]*(i+1) %mod
 
def comb(n, m):
    return fact[n]*inv[m] % mod*inv[n-m] % mod if 0 <= m <= n else 0
 
n, m, k = map(int, input().split())
if n<(m*(k+1)):
    print(0)
else:
    sn,ans=1,0
    for i in range(m+1):
        a=m-i
        c=n-a*(k+1)-i*(2*k+1)
        if c>=0:
            {{completion}}
        sn=-sn
    print(ans)
","ans+=sn*comb(a+i+c, a)*comb(i+c, i)*pow(2, a, mod)
            ans%=mod","ans+=comb(m,i)*sn*inv[i]"
"import sys
input = sys.stdin.readline
t = int(input())
for _ in range(t):
    k = int(input())
    s = input().strip()
    n = len(s)
    stack = []
    costs = []
    for i in range(n):
        if s[i] == '(':
            stack.append(i)
        else:
            {{completion}}
    print(sum(sorted(costs)[:max(0,len(costs)-k)]))
",costs.append((i - stack.pop()) // 2),")
costs.append(i - stack.pop())
("
"import sys
from collections import defaultdict, deque, Counter
t = int(sys.stdin.readline().strip())
for _ in range(t) : 
    k = int(sys.stdin.readline().strip())
    node = sys.stdin.readline().strip()
    n = len(node)
    open = []
    length = []
    answer, now = 0, 0
    for i in range(n) : 
        if node[i] == '(' : 
            open.append(i)
        else : 
            {{completion}}
    node = node + '.'
    for i in range(n-1, -1, -1) : 
        if node[i] == '(' : 
            now -= 1
        else : 
            answer += now
            now += 1
    length.sort(reverse = 1)
    print(answer - sum(length[:min(k, n)]))",length.append((i - open.pop() - 1) // 2),length.append(i - open.pop())
